2026-07-22 02:46:32,241 | DEBUG    | urllib3.connectionpool | Starting new HTTPS connection (1): demo-fapi.binance.com:443
2026-07-22 02:46:33,625 | DEBUG    | urllib3.connectionpool | https://demo-fapi.binance.com:443 "GET /fapi/v1/time HTTP/1.1" 200 28
2026-07-22 02:46:33,625 | INFO     | bot.client | Synced server time. Offset from local clock: 50263044ms
2026-07-22 02:46:33,626 | INFO     | bot.client | REQUEST POST https://demo-fapi.binance.com/fapi/v1/order | params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.01}
2026-07-22 02:46:33,781 | DEBUG    | urllib3.connectionpool | https://demo-fapi.binance.com:443 "POST /fapi/v1/order?symbol=BTCUSDT&side=BUY&type=MARKET&quantity=0.01&timestamp=1784718856670&recvWindow=10000&signature=1c7e7ac2586bc3d84e56213611c1315691ff27ed9d741d76b975c3dfcfae6343 HTTP/1.1" 401 69
2026-07-22 02:46:33,833 | INFO     | bot.client | RESPONSE POST https://demo-fapi.binance.com/fapi/v1/order | status=401 | body={"code":-2015,"msg":"Invalid API-key, IP, or permissions for action"}
2026-07-22 02:46:33,833 | ERROR    | bot.client | API ERROR POST https://demo-fapi.binance.com/fapi/v1/order | code=-2015 msg=Invalid API-key, IP, or permissions for action
2026-07-22 02:46:33,834 | ERROR    | bot.orders | Order failed (API error): Binance API error (code -2015): Invalid API-key, IP, or permissions for action
2026-07-22 05:16:55,619 | DEBUG    | urllib3.connectionpool | Starting new HTTPS connection (1): demo-fapi.binance.com:443
2026-07-22 05:16:56,678 | DEBUG    | urllib3.connectionpool | https://demo-fapi.binance.com:443 "GET /fapi/v1/time HTTP/1.1" 200 28
2026-07-22 05:16:56,679 | INFO     | bot.client | Synced server time. Offset from local clock: 50263860ms
2026-07-22 05:16:56,681 | INFO     | bot.client | REQUEST POST https://demo-fapi.binance.com/fapi/v1/order | params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.01}
2026-07-22 05:16:56,829 | DEBUG    | urllib3.connectionpool | https://demo-fapi.binance.com:443 "POST /fapi/v1/order?symbol=BTCUSDT&side=BUY&type=MARKET&quantity=0.01&timestamp=1784727880540&recvWindow=10000&signature=883c6297308884e0e2b3b6eda0d044163da54b0ced52e032f31e9e6bf7f523ac HTTP/1.1" 200 None
2026-07-22 05:17:02,037 | INFO     | bot.client | RESPONSE POST https://demo-fapi.binance.com/fapi/v1/order | status=200 | body={"orderId":23356352418,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"Cc3LttysJIy20r1XlVnYed","price":"0.00","origQty":"0.0100","executedQty":"0.0000","cumQty":"0.0000","timeInForce":"GTC","type":"MARKET","reduceOnly":false,"closePosition":false,"side":"BUY","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"MARKET","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"updateTime":1784727880691}
2026-07-22 05:17:02,039 | INFO     | bot.orders | Order placed successfully: {'orderId': 23356352418, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'Cc3LttysJIy20r1XlVnYed', 'price': '0.00', 'origQty': '0.0100', 'executedQty': '0.0000', 'cumQty': '0.0000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1784727880691}
2026-07-22 05:28:38,725 | DEBUG    | urllib3.connectionpool | Starting new HTTPS connection (1): demo-fapi.binance.com:443
2026-07-22 05:29:02,873 | DEBUG    | urllib3.connectionpool | https://demo-fapi.binance.com:443 "GET /fapi/v1/time HTTP/1.1" 200 28
2026-07-22 05:29:02,875 | INFO     | bot.client | Synced server time. Offset from local clock: 50263874ms
2026-07-22 05:29:02,876 | INFO     | bot.client | REQUEST POST https://demo-fapi.binance.com/fapi/v1/order | params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': 0.01, 'price': 60000.0, 'timeInForce': 'GTC'}
2026-07-22 05:29:03,012 | DEBUG    | urllib3.connectionpool | https://demo-fapi.binance.com:443 "POST /fapi/v1/order?symbol=BTCUSDT&side=SELL&type=LIMIT&quantity=0.01&price=60000.0&timeInForce=GTC&timestamp=1784728606749&recvWindow=10000&signature=d9a4f2731d501e58b5f607275255fc98cc13abf508fa298da687c918b76536b8 HTTP/1.1" 400 64
2026-07-22 05:29:03,013 | INFO     | bot.client | RESPONSE POST https://demo-fapi.binance.com/fapi/v1/order | status=400 | body={"code":-4024,"msg":"Limit price can't be lower than 62581.82."}
2026-07-22 05:29:03,013 | ERROR    | bot.client | API ERROR POST https://demo-fapi.binance.com/fapi/v1/order | code=-4024 msg=Limit price can't be lower than 62581.82.
2026-07-22 05:29:03,014 | ERROR    | bot.orders | Order failed (API error): Binance API error (code -4024): Limit price can't be lower than 62581.82.
2026-07-22 05:30:48,132 | DEBUG    | urllib3.connectionpool | Starting new HTTPS connection (1): demo-fapi.binance.com:443
2026-07-22 05:30:50,223 | DEBUG    | urllib3.connectionpool | https://demo-fapi.binance.com:443 "GET /fapi/v1/time HTTP/1.1" 200 28
2026-07-22 05:30:50,224 | INFO     | bot.client | Synced server time. Offset from local clock: 50263868ms
2026-07-22 05:30:50,224 | INFO     | bot.client | REQUEST POST https://demo-fapi.binance.com/fapi/v1/order | params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': 0.01, 'price': 70000.0, 'timeInForce': 'GTC'}
2026-07-22 05:30:50,692 | DEBUG    | urllib3.connectionpool | https://demo-fapi.binance.com:443 "POST /fapi/v1/order?symbol=BTCUSDT&side=SELL&type=LIMIT&quantity=0.01&price=70000.0&timeInForce=GTC&timestamp=1784728714092&recvWindow=10000&signature=b9e35f8b83938e482a2198568bfbb2cfada1a20aec097bdb493d52e5c99f0bed HTTP/1.1" 200 None
2026-07-22 05:30:50,692 | INFO     | bot.client | RESPONSE POST https://demo-fapi.binance.com/fapi/v1/order | status=200 | body={"orderId":23358294717,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"0Rw62ONc5Bpa9QKVzDLSqc","price":"70000.00","origQty":"0.0100","executedQty":"0.0000","cumQty":"0.0000","timeInForce":"GTC","type":"LIMIT","reduceOnly":false,"closePosition":false,"side":"SELL","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"LIMIT","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"updateTime":1784728714560}
2026-07-22 05:30:50,693 | INFO     | bot.orders | Order placed successfully: {'orderId': 23358294717, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': '0Rw62ONc5Bpa9QKVzDLSqc', 'price': '70000.00', 'origQty': '0.0100', 'executedQty': '0.0000', 'cumQty': '0.0000', 'timeInForce': 'GTC', 'type': 'LIMIT', 'reduceOnly': False, 'closePosition': False, 'side': 'SELL', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'LIMIT', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1784728714560}
